account_type,institution,source_description,description,amount,transaction_type,matched_transaction_type_rule_id
credit_card,American Express,KINDLE UNLTD*M20818Y866-321-8851 WA,KINDLE UNLTD*M20818Y866-321-8851 WA,-10.59,purchase,PURCH_001
credit_card,American Express,AUTOPAY PAYMENT - THANK YOU,AUTOPAY - THANK YOU,253.77,credit_card_payment,CCPAY_002
credit_card,American Express,EUROPEAN WAX CENTER MECHANICSBURG PA,EUROPEAN WAX CENTER MECHANICSBURG PA,-73,purchase,PURCH_001
credit_card,American Express,AUDIBLE AUDIBLE.COM NJ,AUDIBLE AUDIBLE. COM NJ,-15.88,purchase,PURCH_001
credit_card,American Express,INTEREST CHARGE ON PAY OVER TIME PURCHASES,INTEREST CHARGE ON PAY OVER TIME PURCHASES,-17.89,finance_charge,FINCHG_001
credit_card,American Express,COURSRA942R8HQBM6OYPMOUNTAIN VI CA,COURSRA942R8HQBM6OYPMOUNTAIN VI CA,-49,purchase,PURCH_001
credit_card,American Express,AMAZON MUSIC*MB9589J888-802-3080 WA,AMAZON MUSIC*MB9589J888-802-3080 WA,-8.47,purchase,PURCH_001
credit_card,American Express,AMAZON MKTPLACE PMTSSEATTLE WA,AMAZON MKTPLACE PMTSSEATTLE WA,-11.61,purchase,PURCH_001
credit_card,American Express,AMAZON SHOP WITH POINTS CREDIT,AMAZON SHOP WITH POINTS CREDIT,11.61,unknown,UNK_001
credit_card,American Express,AMAZON MARKETPLACE,AMAZON MARKETPLACE,-12.64,purchase,PURCH_001
credit_card,American Express,AMAZON MARKETPLACE,AMAZON MARKETPLACE,-49.49,purchase,PURCH_001
credit_card,American Express,"TILE, INC. SAN MATEO CA","TILE, INC. SAN MATEO CA",-57.24,purchase,PURCH_001
credit_card,American Express,AMZ*ATOM TICKETS <PHONE> WA,AMZ*ATOM TICKETS <PHONE> WA,-28,purchase,PURCH_001
credit_card,American Express,LAZ - GREENBERG GARANEW YORK NY,LAZ - GREENBERG GARANEW YORK NY,-39,purchase,PURCH_001
credit_card,American Express,BLUEMOUNTAIN*ECARDPL888-254-1450 OH,BLUEMOUNTAIN*ECARDPL888-254-1450 OH,-19.99,purchase,PURCH_001
credit_card,American Express,ULTIMATE EXPRESS CARDANVILLE PA,ULTIMATE EXPRESS CARDANVILLE PA,-19.03,purchase,PURCH_001
credit_card,American Express,KINDLE UNLTD*MB7C906866-321-8851 WA,KINDLE UNLTD*MB7C906866-321-8851 WA,-10.59,purchase,PURCH_001
credit_card,American Express,LINKEDIN-440*8079404LNKD.IN/BILL CA,LINKEDIN-440*8079404LNKD. IN/BILL CA,-63.59,purchase,PURCH_001
credit_card,American Express,AMAZON MARKETPLACE,AMAZON MARKETPLACE,-26.49,purchase,PURCH_001
credit_card,American Express,DROPBOX*VVVXYYZ3W2QVSAN FRANCISCO CA,DROPBOX*VVVXYYZ3W2QVSAN FRANCISCO CA,-99,purchase,PURCH_001
credit_card,American Express,AUTOPAY PAYMENT - THANK YOU,AUTOPAY - THANK YOU,197.2,credit_card_payment,CCPAY_002
credit_card,American Express,MIT ALUMNI ASSOC GIFCAMBRIDGE MA,MIT ALUMNI ASSOC GIFCAMBRIDGE MA,250,unknown,UNK_001
credit_card,American Express,MIT ALUMNI ASSOC GIFCAMBRIDGE MA,MIT ALUMNI ASSOC GIFCAMBRIDGE MA,-250,purchase,PURCH_001
credit_card,American Express,MIT ALUMNI ASSOC GIFCAMBRIDGE MA,MIT ALUMNI ASSOC GIFCAMBRIDGE MA,-250,purchase,PURCH_001
credit_card,American Express,INTEREST CHARGE ON PAY OVER TIME PURCHASES,INTEREST CHARGE ON PAY OVER TIME PURCHASES,-24.98,finance_charge,FINCHG_001
credit_card,American Express,ULTIMATE EXPRESS CARDANVILLE PA,ULTIMATE EXPRESS CARDANVILLE PA,-19.03,purchase,PURCH_001
credit_card,American Express,AMAZON MARKETPLACE,AMAZON MARKETPLACE,-20.99,purchase,PURCH_001
credit_card,American Express,BEST BUY STATE COLLEGE PA,BEST BUY STATE COLLEGE PA,-76.28,purchase,PURCH_001
credit_card,American Express,MCDONALD'S BLOOMSBURG PA,MCDONALD'S BLOOMSBURG PA,-4.42,purchase,PURCH_001
credit_card,American Express,AMAZON MARKETPLACE,AMAZON MARKETPLACE,-29.09,purchase,PURCH_001
credit_card,American Express,SHEETZ DANVILLE PA,SHEETZ DANVILLE PA,-9.04,purchase,PURCH_001
credit_card,American Express,AMAZON MARKETPLACE,AMAZON MARKETPLACE,-30.73,purchase,PURCH_001
credit_card,American Express,COURSRA942R8HQBM6OYPMOUNTAIN VI CA,COURSRA942R8HQBM6OYPMOUNTAIN VI CA,-49,purchase,PURCH_001
credit_card,American Express,EUROPEAN WAX CENTER MECHANICSBURG PA,EUROPEAN WAX CENTER MECHANICSBURG PA,-68,purchase,PURCH_001
credit_card,American Express,SHEETZ DANVILLE PA,SHEETZ DANVILLE PA,-13.64,purchase,PURCH_001
credit_card,American Express,WEGMANS MECHANICSBURG PA,WEGMANS MECHANICSBURG PA,-11.98,purchase,PURCH_001
credit_card,American Express,BT*QUICKEN INC MENLO PARK CA,BT*QUICKEN INC MENLO PARK CA,-52.99,purchase,PURCH_001
credit_card,American Express,LINKEDIN-447*6448384LNKD.IN/BILL CA,LINKEDIN-447*6448384LNKD. IN/BILL CA,-31.8,purchase,PURCH_001
credit_card,American Express,AUTOPAY PAYMENT - THANK YOU,AUTOPAY - THANK YOU,537.14,credit_card_payment,CCPAY_002
credit_card,American Express,AUDIBLE AUDIBLE.COM NJ,AUDIBLE AUDIBLE. COM NJ,-15.88,purchase,PURCH_001
credit_card,American Express,GMC FOOD SERVICE QDANVILLE PA,GMC FOOD SERVICE QDANVILLE PA,-5.02,purchase,PURCH_001
credit_card,American Express,POINTS FOR YOUR CHARGES CREDIT,POINTS FOR YOUR CHARGES CREDIT,5.02,unknown,UNK_001
credit_card,American Express,GMC FOOD SERVICE QDANVILLE PA,GMC FOOD SERVICE QDANVILLE PA,-14.3,purchase,PURCH_001
credit_card,American Express,ULTIMATE EXPRESS CARDANVILLE PA,ULTIMATE EXPRESS CARDANVILLE PA,-19.03,purchase,PURCH_001
credit_card,American Express,INTEREST CHARGE ON PAY OVER TIME PURCHASES,INTEREST CHARGE ON PAY OVER TIME PURCHASES,-28.76,finance_charge,FINCHG_001
credit_card,American Express,COURSRA942R8HQBM6OYPMOUNTAIN VI CA,COURSRA942R8HQBM6OYPMOUNTAIN VI CA,-49,purchase,PURCH_001
credit_card,American Express,AMERICAN AIRLINES 45800-433-7300 TX,AMERICAN AIRLINES 45800-433-7300 TX,-37.49,purchase,PURCH_001
