source_system,layout_id,column_position,canonical_field,expected_pattern,required
wf,LAYOUT_A,1,transaction_date,"^[0-9]{1,2}/[0-9]{1,2}/[0-9]{4}$",True
wf,LAYOUT_A,5,description,.+,True
wf,LAYOUT_A,2,amount,"^-?[$]?[0-9,]+[.][0-9]{2}$",True
wf,LAYOUT_A,4,check_number,"[0-9]{1,8}",False
wf,LAYOUT_A,3,status,.+,False
wf,LAYOUT_B,1,transaction_date,"^[0-9]{1,2}/[0-9]{1,2}/[0-9]{4}$",True
wf,LAYOUT_B,2,description,.+,True
wf,LAYOUT_B,3,amount,"^-?[$]?[0-9,]+[.][0-9]{2}$",True
wf,LAYOUT_B,4,check_number,"[0-9]{1,8}",False
wf,LAYOUT_B,5,status,.+,False
bhg,LAYOUT_A,1,transaction_date,"^[0-9]{1,2}/[0-9]{1,2}/[0-9]{4}$",True
bhg,LAYOUT_A,2,post_date,"^[0-9]{1,2}/[0-9]{1,2}/[0-9]{4}$",False
bhg,LAYOUT_A,3,description,.+,True
bhg,LAYOUT_A,4,amount,"^-?[$]?[0-9,]+[.][0-9]{2}$",True
bhg,LAYOUT_A,5,cardmember,.+,False
bhg,LAYOUT_A,6,merchant_country,.+,False
bhg,LAYOUT_A,7,merchant_category_code_desc,.+,False
bhg,LAYOUT_A,8,merchant_category_code,.+,False
bhg,LAYOUT_A,9,custom_1,.+,False
bhg,LAYOUT_A,10,custom_2,.+,False
bhg,LAYOUT_B,1,transaction_date,"^[0-9]{1,2}/[0-9]{1,2}/[0-9]{4}$",True
bhg,LAYOUT_B,2,post_date,"^[0-9]{1,2}/[0-9]{1,2}/[0-9]{4}$",False
bhg,LAYOUT_B,3,description,.+,True
bhg,LAYOUT_B,5,amount,"^-?[$]?[0-9,]+[.][0-9]{2}$",True
bhg,LAYOUT_B,4,cardmember,.+,False
bhg,LAYOUT_B,6,merchant_country,.+,False
bhg,LAYOUT_B,7,merchant_category_code_desc,.+,False
bhg,LAYOUT_B,8,merchant_category_code,.+,False
bhg,LAYOUT_B,9,custom_1,.+,False
bhg,LAYOUT_B,10,custom_2,.+,False
